,URN,Station No.,Shift,Hour,Priority,Distance
0,PS-20220709-0475,1.0,Early,0,Immediate,3.364528031311617
1,PS-20220711-0540,1.0,Early,0,Immediate,2.378707211239825
2,PS-20220711-0568,1.0,Early,0,Immediate,4.253508054562137
3,PS-20220711-2657,1.0,Early,0,Immediate,4.357748775175515
4,PS-20220712-1251,3.0,Early,0,Immediate,0.1036544289414474
5,PS-20220706-2413,1.0,Early,0,Immediate,0.46241474511203917
6,PS-20220712-3654,1.0,Early,0,Immediate,1.5599052712744708
7,PS-20220712-3674,1.0,Early,0,Immediate,2.9876137390978132
8,PS-20220706-3459,1.0,Early,0,Immediate,0.7957310227591066
9,PS-20220709-2899,1.0,Early,0,Immediate,1.8606199131238856
10,PS-20220714-2062,2.0,Early,0,Immediate,7.468971653291764
11,PS-20220714-2090,1.0,Early,0,Immediate,3.417114997890088
12,PS-20220714-2095,1.0,Early,0,Immediate,1.746608683988438
13,PS-20220712-1334,1.0,Early,1,Immediate,4.253508054562137
14,PS-20220709-2937,3.0,Early,1,Immediate,0.7815787622484901
15,PS-20220713-2969,1.0,Early,1,Immediate,6.723565412020112
16,PS-20220714-2227,2.0,Early,1,Immediate,3.9066030629209245
17,PS-20220707-1030,1.0,Early,1,Immediate,1.0883688478074591
18,PS-20220707-1033,1.0,Early,1,Immediate,4.519167168587813
19,PS-20220715-0520,2.0,Early,1,Immediate,3.434903116295145
20,PS-20220713-3250,3.0,Early,2,Immediate,2.0573323560718606
21,PS-20220709-3394,3.0,Early,2,Immediate,1.5144768017492252
22,PS-20220712-3858,3.0,Early,3,Immediate,7.790782336278386
23,PS-20220714-2317,2.0,Early,3,Immediate,2.818975822040464
24,PS-20220706-2574,3.0,Early,4,Immediate,0.5643337919205543
25,PS-20220712-3972,2.0,Early,4,Immediate,5.658441969671163
26,PS-20220706-3613,2.0,Early,4,Immediate,5.020220941987412
27,PS-20220711-1086,2.0,Early,5,Immediate,2.630812171317216
28,PS-20220712-1513,2.0,Early,5,Immediate,0.9950787275610891
29,PS-20220706-2583,3.0,Early,5,Immediate,4.638198654154241
30,PS-20220714-2354,3.0,Early,5,Immediate,0.3104736079300085
31,PS-20220709-3491,2.0,Early,6,Immediate,0.3327597815362843
32,PS-20220715-0781,2.0,Early,6,Immediate,7.020228882486022
